Vastus medialis (mV)	Time (ms)
0.0075	1.074
0.0082	1.075
0.0082	1.076
0.0045	1.077
0.0015	1.078
0.0	1.079
-0.0008	1.08
0.0	1.081
0.0007	1.082
0.0	1.083
0.0007	1.084
-0.0008	1.085
-0.0015	1.086
-0.003	1.087
-0.003	1.088
-0.0023	1.089
-0.003	1.09
-0.0023	1.091
-0.0046	1.092
-0.003	1.093
-0.0038	1.094
-0.0023	1.095
0.0	1.096
-0.0023	1.097
-0.0023	1.098
0.0007	1.099
0.0007	1.1
-0.0008	1.101
0.0	1.102
0.0	1.103
-0.0015	1.104
0.0007	1.105
0.0007	1.106
0.0007	1.107
0.0	1.108
-0.003	1.109
0.0	1.11
0.0015	1.111
0.0015	1.112
0.003	1.113
0.0037	1.114
0.0045	1.115
0.0015	1.116
0.0	1.117
0.0007	1.118
-0.0008	1.119
-0.0015	1.12
-0.0015	1.121
-0.0008	1.122
0.0	1.123
-0.0008	1.124
0.0007	1.125
0.0007	1.126
-0.0008	1.127
0.0007	1.128
0.0	1.129
-0.0015	1.13
-0.0015	1.131
-0.0008	1.132
0.0	1.133
0.0015	1.134
-0.0008	1.135
-0.003	1.136
-0.0023	1.137
-0.0008	1.138
0.0015	1.139
0.0007	1.14
0.0	1.141
-0.0015	1.142
-0.0008	1.143
0.0007	1.144
0.0007	1.145
0.0007	1.146
0.0015	1.147
0.0037	1.148
0.003	1.149
0.003	1.15
0.003	1.151
0.0007	1.152
-0.0015	1.153
-0.0053	1.154
-0.0075	1.155
-0.0046	1.156
-0.0038	1.157
-0.0046	1.158
-0.0046	1.159
-0.0023	1.16
-0.0015	1.161
0.0	1.162
0.0045	1.163
0.0022	1.164
0.0015	1.165
0.003	1.166
0.0015	1.167
0.0015	1.168
0.0	1.169
0.0007	1.17
0.0007	1.171
-0.0008	1.172
0.0015	1.173
0.0037	1.174
0.0037	1.175
0.0052	1.176
0.0067	1.177
0.006	1.178
0.006	1.179
0.0052	1.18
0.003	1.181
0.0015	1.182
-0.0008	1.183
-0.0008	1.184
-0.0015	1.185
-0.003	1.186
-0.0015	1.187
-0.0015	1.188
-0.003	1.189
-0.003	1.19
-0.0015	1.191
-0.0015	1.192
-0.0015	1.193
-0.0015	1.194
-0.0008	1.195
0.0007	1.196
-0.0008	1.197
-0.0015	1.198
-0.0023	1.199
-0.0015	1.2
-0.0008	1.201
-0.0008	1.202
0.0007	1.203
0.0022	1.204
0.0015	1.205
0.0007	1.206
-0.0008	1.207
-0.0008	1.208
0.0015	1.209
0.003	1.21
0.003	1.211
0.0015	1.212
0.0037	1.213
0.0015	1.214
-0.0008	1.215
-0.0008	1.216
0.0007	1.217
-0.0008	1.218
-0.0008	1.219
